URL,Access_Frequency,Content_Size,Last_Access_Time,Access_Frequency_Over_Time,Storage_Cost,Content_Type,Data_Freshness
http://localhost:5000/video/item_54.mp4,71,465,2024-09-02 22:34:02,6,377,Advertisement,Stale
http://localhost:5000/video/item_58.mp4,61,5,2024-08-31 19:10:49,4,665,Article,Stale
http://localhost:5000/video/item_76.mp4,30,309,2024-09-06 03:11:11,10,321,Infographic,Fresh
http://localhost:5000/video/item_15.mp4,80,408,2024-09-04 21:28:13,9,722,Social Media,Stale
http://localhost:5000/video/item_56.mp4,89,448,2024-09-05 08:59:36,2,770,Article,Fresh
http://localhost:5000/video/item_53.mp4,73,367,2024-08-30 02:37:49,9,559,Advertisement,Fresh
http://localhost:5000/video/item_58.mp4,100,39,2024-09-01 00:36:14,10,396,Advertisement,Stale
http://localhost:5000/video/item_87.mp4,99,28,2024-08-31 06:51:35,4,807,Videos,Stale
http://localhost:5000/video/item_88.mp4,40,101,2024-09-02 06:42:31,7,577,Authority Content,Stale
http://localhost:5000/video/item_97.mp4,91,231,2024-09-03 04:28:55,4,187,Live Video,Stale
http://localhost:5000/video/item_17.mp4,89,483,2024-09-06 20:20:04,8,146,Emails,Fresh
http://localhost:5000/video/item_13.mp4,95,112,2024-09-07 11:03:51,7,267,Videos,Stale
http://localhost:5000/video/item_6.mp4,20,393,2024-09-01 04:44:28,3,502,Emails,Stale
http://localhost:5000/video/item_61.mp4,26,295,2024-09-03 03:23:27,9,600,Emails,Fresh
http://localhost:5000/video/item_46.mp4,56,402,2024-09-05 02:14:40,1,305,Ebook,Stale
http://localhost:5000/video/item_2.mp4,56,245,2024-09-04 03:17:50,3,530,Blogs,Fresh
http://localhost:5000/video/item_74.mp4,15,127,2024-08-31 06:37:37,8,359,News,Fresh
http://localhost:5000/video/item_97.mp4,80,490,2024-08-28 13:32:17,10,818,Infographic,Stale
http://localhost:5000/video/item_52.mp4,93,500,2024-09-01 11:08:50,4,557,Social Media,Fresh
http://localhost:5000/video/item_29.mp4,81,325,2024-09-02 01:55:30,6,572,Emails,Stale
http://localhost:5000/video/item_53.mp4,72,467,2024-09-07 02:26:31,8,506,Videos,Stale
http://localhost:5000/video/item_43.mp4,93,80,2024-09-02 08:32:41,4,643,Blogs,Fresh
http://localhost:5000/video/item_50.mp4,56,475,2024-09-03 21:56:20,7,794,Social Media,Fresh
http://localhost:5000/video/item_25.mp4,100,245,2024-09-04 22:52:02,5,343,Article,Fresh
http://localhost:5000/video/item_97.mp4,7,436,2024-09-01 11:00:54,9,138,Live Video,Stale
http://localhost:5000/video/item_48.mp4,50,263,2024-08-29 00:32:21,1,630,News,Fresh
http://localhost:5000/video/item_87.mp4,15,380,2024-08-27 16:36:22,1,506,Article,Fresh
http://localhost:5000/video/item_88.mp4,13,6,2024-09-02 16:14:56,9,110,Infographic,Stale
http://localhost:5000/video/item_62.mp4,57,213,2024-08-27 23:32:52,1,800,Emails,Stale
http://localhost:5000/video/item_61.mp4,43,271,2024-08-28 04:49:29,10,445,Authority Content,Fresh
http://localhost:5000/video/item_8.mp4,49,33,2024-09-04 12:06:39,3,297,Article,Fresh
http://localhost:5000/video/item_74.mp4,5,151,2024-09-03 05:42:32,6,284,Advertisement,Fresh
http://localhost:5000/video/item_26.mp4,17,145,2024-08-27 12:55:14,8,787,Article,Fresh
http://localhost:5000/video/item_14.mp4,91,68,2024-08-30 16:12:48,9,872,Emails,Stale
http://localhost:5000/video/item_68.mp4,13,474,2024-09-07 12:18:09,7,745,Social Media,Fresh
http://localhost:5000/video/item_72.mp4,32,236,2024-08-29 13:50:38,4,235,Advertisement,Stale
http://localhost:5000/video/item_9.mp4,55,45,2024-09-01 14:49:33,1,502,Article,Stale
http://localhost:5000/video/item_14.mp4,50,385,2024-08-28 23:13:26,1,270,Advertisement,Fresh
http://localhost:5000/video/item_75.mp4,13,398,2024-09-05 04:01:21,3,211,Videos,Stale
http://localhost:5000/video/item_82.mp4,7,333,2024-09-05 08:43:20,2,527,Emails,Fresh
http://localhost:5000/video/item_90.mp4,70,43,2024-09-05 22:42:43,7,12,News,Stale
http://localhost:5000/video/item_68.mp4,61,38,2024-09-03 23:40:37,3,253,Infographic,Fresh
http://localhost:5000/video/item_8.mp4,7,463,2024-08-29 13:53:37,10,414,Social Media,Stale
http://localhost:5000/video/item_35.mp4,87,368,2024-08-28 13:18:19,6,852,Infographic,Stale
http://localhost:5000/video/item_69.mp4,85,407,2024-09-01 09:53:43,3,98,Emails,Fresh
http://localhost:5000/video/item_2.mp4,71,39,2024-08-28 05:50:04,4,495,Ebook,Stale
http://localhost:5000/video/item_19.mp4,89,210,2024-08-31 07:31:29,7,937,Advertisement,Stale
http://localhost:5000/video/item_13.mp4,10,141,2024-08-29 00:08:08,8,313,Emails,Fresh
http://localhost:5000/video/item_55.mp4,19,27,2024-09-01 11:44:39,1,338,Videos,Stale
http://localhost:5000/video/item_63.mp4,11,59,2024-08-29 05:11:28,1,257,Videos,Fresh
http://localhost:5000/video/item_83.mp4,62,44,2024-09-04 19:33:31,1,580,Advertisement,Fresh
http://localhost:5000/video/item_55.mp4,61,81,2024-09-02 11:32:40,6,661,Infographic,Fresh
http://localhost:5000/video/item_64.mp4,22,45,2024-09-06 01:37:03,3,418,Emails,Fresh
http://localhost:5000/video/item_21.mp4,80,39,2024-09-04 06:35:09,7,65,Advertisement,Fresh
http://localhost:5000/video/item_54.mp4,65,43,2024-08-29 23:09:53,9,105,Article,Stale
http://localhost:5000/video/item_81.mp4,96,209,2024-08-29 00:19:25,2,340,Ebook,Stale
http://localhost:5000/video/item_14.mp4,85,414,2024-09-04 04:23:57,3,213,Emails,Fresh
http://localhost:5000/video/item_11.mp4,2,90,2024-09-04 19:05:27,1,95,Infographic,Stale
http://localhost:5000/video/item_58.mp4,5,219,2024-09-04 19:19:44,4,359,News,Fresh
http://localhost:5000/video/item_43.mp4,81,440,2024-08-29 03:01:01,3,244,Advertisement,Stale
http://localhost:5000/video/item_79.mp4,90,452,2024-09-05 03:59:00,9,791,Authority Content,Fresh
http://localhost:5000/video/item_82.mp4,64,334,2024-08-28 18:31:35,9,936,Blogs,Stale
http://localhost:5000/video/item_84.mp4,76,494,2024-09-07 13:13:20,7,871,Infographic,Stale
http://localhost:5000/video/item_64.mp4,98,255,2024-09-07 10:49:02,3,601,Blogs,Stale
http://localhost:5000/video/item_30.mp4,64,124,2024-09-05 07:35:53,7,690,Videos,Fresh
http://localhost:5000/video/item_0.mp4,70,418,2024-09-02 06:59:46,8,646,Authority Content,Stale
http://localhost:5000/video/item_26.mp4,46,223,2024-09-05 04:51:38,6,205,Blogs,Stale
http://localhost:5000/video/item_13.mp4,42,333,2024-09-02 13:32:23,5,141,Blogs,Stale
http://localhost:5000/video/item_55.mp4,3,128,2024-09-06 00:15:23,3,497,News,Fresh
http://localhost:5000/video/item_40.mp4,100,462,2024-09-03 04:11:51,10,161,Article,Stale
http://localhost:5000/video/item_8.mp4,90,474,2024-09-06 00:29:27,10,412,Videos,Stale
http://localhost:5000/video/item_72.mp4,21,209,2024-09-04 09:31:55,2,699,Advertisement,Stale
